drug.id,drug.name,drug.drugType,drug.mechanismsOfAction.rows,drug.description,drug.synonyms,drug.tradeNames,drug.maximumClinicalStage,drug.indications.rows
CHEMBL3286830,LORLATINIB,Small molecule,"['ALK tyrosine kinase receptor inhibitor', 'EML4-ALK inhibitor']","Small molecule drug with a maximum clinical stage of Approval (across all indications), with 3 approved and 5 investigational indications.","['Lorlatinib', 'PF-06463922']","['Lorbrena', 'Lorviqua']",APPROVAL,"[{'id': 'EFO_0003086', 'name': 'kidney disease'}, {'id': 'EFO_0001421', 'name': 'liver disease'}, {'id': 'EFO_0000574', 'name': 'lymphoma'}, {'id': 'MONDO_0004992', 'name': 'cancer'}, {'id': 'EFO_0003032', 'name': 'anaplastic large cell lymphoma'}, {'id': 'EFO_0003060', 'name': 'non-small cell lung carcinoma'}, {'id': 'EFO_0000616', 'name': 'neoplasm'}, {'id': 'EFO_0000621', 'name': 'neuroblastoma'}]"
CHEMBL4650298,PLB1003,Unknown,"['ALK tyrosine kinase receptor inhibitor', 'EML4-ALK inhibitor']","Unknown drug with a maximum clinical stage of Phase 1, with 1 investigational indication.",Plb1003,,PHASE_1,"{'id': 'EFO_0003060', 'name': 'non-small cell lung carcinoma'}"
CHEMBL3707320,ALECTINIB HYDROCHLORIDE,Small molecule,"['EML4-ALK inhibitor', 'Tyrosine-protein kinase receptor RET inhibitor', 'ALK tyrosine kinase receptor inhibitor']","Small molecule drug with a maximum clinical stage of Approval, with an approval for non-small cell lung carcinoma.","['AF-802 HYDROCHLORIDE', 'Alectinib hydrochloride', 'CH-5424802 HYDROCHLORIDE']",Alecensa,APPROVAL,"{'id': 'EFO_0003060', 'name': 'non-small cell lung carcinoma'}"
CHEMBL3545311,BRIGATINIB,Small molecule,"['ALK tyrosine kinase receptor inhibitor', 'Epidermal growth factor receptor erbB1 inhibitor']","Small molecule drug with a maximum clinical stage of Approval (across all indications), with 3 approved and 2 investigational indications.","['AP-26113', 'AP26113', 'Ap-26113', 'Brigatinib']",Alunbrig,APPROVAL,"[{'id': 'EFO_0000313', 'name': 'carcinoma'}, {'id': 'EFO_0003032', 'name': 'anaplastic large cell lymphoma'}, {'id': 'MONDO_0008903', 'name': 'lung cancer'}, {'id': 'EFO_0003060', 'name': 'non-small cell lung carcinoma'}, {'id': 'EFO_0000616', 'name': 'neoplasm'}]"
CHEMBL601719,CRIZOTINIB,Small molecule,"['EML4-ALK inhibitor', 'NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor', 'ALK tyrosine kinase receptor inhibitor', 'Hepatocyte growth factor receptor inhibitor', 'Macrophage-stimulating protein receptor inhibitor', 'Proto-oncogene tyrosine-protein kinase ROS inhibitor']","Small molecule drug with a maximum clinical stage of Approval (across all indications), with an approval for neoplasm and non-small cell lung carcinoma and 14 investigational indications.","['Crizotinib', 'NSC-756645', 'PF-02341066', 'Pf-2341066']",Xalkori,APPROVAL,"[{'id': 'EFO_0003086', 'name': 'kidney disease'}, {'id': 'EFO_0000616', 'name': 'neoplasm'}, {'id': 'EFO_0003032', 'name': 'anaplastic large cell lymphoma'}, {'id': 'MONDO_0011962', 'name': 'endometrial cancer'}, {'id': 'MONDO_0008315', 'name': 'prostate cancer'}, {'id': 'EFO_0001378', 'name': 'multiple myeloma'}, {'id': 'EFO_0000519', 'name': 'glioblastoma multiforme'}, {'id': 'EFO_0003060', 'name': 'non-small cell lung carcinoma'}, {'id': 'EFO_0000571', 'name': 'lung adenocarcinoma'}, {'id': 'EFO_1000338', 'name': 'Lung Signet Ring Cell Carcinoma'}, {'id': 'MONDO_0007039', 'name': 'NF2-related schwannomatosis'}, {'id': 'MONDO_0015798', 'name': 'inflammatory myofibroblastic tumor'}, {'id': 'EFO_1000616', 'name': 'Uveal Melanoma'}, {'id': 'MONDO_0001056', 'name': 'gastric cancer'}, {'id': 'MONDO_0004992', 'name': 'cancer'}, {'id': 'MONDO_0008903', 'name': 'lung cancer'}]"
CHEMBL4113131,ENSARTINIB,Small molecule,ALK tyrosine kinase receptor inhibitor,"Small molecule drug with a maximum clinical stage of Approval (across all indications), with 3 investigational indications.","['Ensartinib', 'X-396']",Ensacove,APPROVAL,"[{'id': 'MONDO_0008903', 'name': 'lung cancer'}, {'id': 'EFO_0000756', 'name': 'melanoma'}, {'id': 'EFO_0003060', 'name': 'non-small cell lung carcinoma'}]"
CHEMBL3545360,ASP-3026,Small molecule,ALK tyrosine kinase receptor inhibitor,"Small molecule drug with a maximum clinical stage of Phase 1 (across all indications), with 4 investigational indications.","['ASP3026', 'Asp 3026', 'Asp-3026']",,PHASE_1,"[{'id': 'EFO_0000096', 'name': 'neoplasm of mature B-cells'}, {'id': 'MONDO_0004992', 'name': 'cancer'}, {'id': 'EFO_0000403', 'name': 'diffuse large B-cell lymphoma'}, {'id': 'EFO_0000616', 'name': 'neoplasm'}]"
CHEMBL3899477,CONTELTINIB,Small molecule,"['ALK tyrosine kinase receptor inhibitor', 'Focal adhesion kinase 1 inhibitor', 'Protein tyrosine kinase 2 beta inhibitor', 'Insulin-like growth factor I receptor inhibitor']","Small molecule drug with a maximum clinical stage of Phase 1, with 1 investigational indication.",Conteltinib,,PHASE_1,"{'id': 'EFO_0003060', 'name': 'non-small cell lung carcinoma'}"
CHEMBL1983268,ENTRECTINIB,Small molecule,"['ALK tyrosine kinase receptor inhibitor', 'Neurotrophic tyrosine kinase receptor inhibitor', 'Proto-oncogene tyrosine-protein kinase ROS inhibitor']","Small molecule drug with a maximum clinical stage of Approval (across all indications), with an approval for neoplasm and non-small cell lung carcinoma and 6 investigational indications.","['Entrectinib', 'NMS-E628', 'RXDX-101', 'Rxdx-101']",Rozlytrek,APPROVAL,"[{'id': 'MONDO_0004992', 'name': 'cancer'}, {'id': 'EFO_0000326', 'name': 'central nervous system cancer'}, {'id': 'MONDO_0005575', 'name': 'colorectal cancer'}, {'id': 'EFO_0003060', 'name': 'non-small cell lung carcinoma'}, {'id': 'EFO_0000621', 'name': 'neuroblastoma'}, {'id': 'EFO_1000616', 'name': 'Uveal Melanoma'}, {'id': 'EFO_0000616', 'name': 'neoplasm'}, {'id': 'HP_0001399', 'name': 'Hepatic failure'}]"
CHEMBL3951811,CEP-37440,Small molecule,"['ALK tyrosine kinase receptor inhibitor', 'Focal adhesion kinase 1 inhibitor']","Small molecule drug with a maximum clinical stage of Phase 1, with 1 investigational indication.","['Alk-fak inhibitor cep-37440', 'Cep-37440']",,PHASE_1,"{'id': 'EFO_0000616', 'name': 'neoplasm'}"
